시스템,대분류,단계,시간(분),화면/탭,메뉴/버튼,액션,시연 포인트,발표 멘트
품질분석 Chatbot,시스템 소개,1-1,2,메인 화면,전체 화면,화면 설명,"- 시스템 제목: SDC 고객품질 분석 AI 시스템
- 6개 기능 카드 확인
- 결함분석시스템 버튼 확인 (헤더)","안녕하세요. SDC 고객품질 분석 AI 시스템을 소개드리겠습니다. 고객사 품질 불량 건에 대해 AI를 활용하여 데이터 수집부터 보고서 작성까지 전 과정을 지원합니다."
품질분석 Chatbot,고객불량 확인,2-1,1,고객불량 확인,메일 수신/접수,버튼 클릭,"- 영문 메일 원문 표시
- 고객사/제품모델/LOT ID/결함유형 자동 추출",고객사에서 불량 관련 영문 메일이 도착했습니다. 시스템이 자동으로 메일을 파싱하여 주요 정보를 추출합니다.
품질분석 Chatbot,고객불량 확인,2-2,1,메일 접수 화면,번역 버튼,버튼 클릭,"- AI 자동 한글 번역
- 번역 결과 즉시 표시",AI가 영문 메일을 자동으로 한글로 번역합니다.
품질분석 Chatbot,고객불량 확인,2-3,1,메일 접수 화면,접수 시스템으로 연계,버튼 클릭,"- CS 워크플로우 연동 (localhost:7860)
- 고객불량 확인 그룹에 히스토리 자동 저장",접수 버튼 클릭 시 CS 워크플로우 시스템과 연동되고 히스토리에 자동 저장됩니다.
품질분석 Chatbot,데이터 수집,3-1,1,데이터 수집 카드,데이터 수집,카드 클릭,"- 5가지 데이터 카테고리 표시
- 분석 대상 정보 확인",접수된 불량 건에 대해 관련 데이터를 수집합니다.
품질분석 Chatbot,데이터 수집,3-2,1,데이터 수집 화면,MES 생산 실적,조회 클릭,"- 생산 수량/수율 정보
- 공정 흐름 추적 (Array→Cell→Module)",MES 시스템에서 생산 실적 데이터를 조회합니다.
품질분석 Chatbot,데이터 수집,3-3,1,데이터 수집 화면,품질검사/불량이력,조회 클릭,"- 검사 항목별 결과
- 불량 이력 및 판정 정보",품질검사 시스템에서 검사 이력과 불량 정보를 조회합니다.
품질분석 Chatbot,데이터 수집,3-4,1,데이터 수집 화면,공정/설비 이력,조회 클릭,"- 설비 파라미터
- 이상 발생 이력",공정 및 설비 관련 이력 데이터를 조회합니다.
품질분석 Chatbot,데이터 수집,3-5,0.5,데이터 수집 화면,기본 분석 시작,버튼 클릭,"- 수집 데이터가 AI 컨텍스트로 전달
- 데이터수집 그룹에 이력 저장",수집된 데이터를 기반으로 AI 분석을 시작합니다.
품질분석 Chatbot,기본 분석,4-1,1,채팅 화면,1차 분석,메시지 전송,"- AI가 데이터 패턴 분석
- 잠재적 원인 도출",AI가 수집된 데이터를 분석하여 잠재적 원인을 도출합니다.
품질분석 Chatbot,기본 분석,4-2,1,채팅 화면,귀책부서 분석,메시지 전송,"- 공정별 책임 분석
- 근본 원인 추정",AI가 귀책부서를 분석합니다.
품질분석 Chatbot,기본 분석,4-3,1,채팅 화면 우측,분석 액션 사이드바,버튼 클릭,"- 고객 담당자 연락처 조회
- 이메일 초안 작성 지원",우측 사이드바에서 추가 분석 액션을 수행할 수 있습니다.
품질분석 Chatbot,과거 이력,5-1,1,과거 이력확인 카드,유사 사례 조회,버튼 클릭,"- 유사 사례 목록 표시
- 유사도 점수 확인",과거 유사한 불량 사례를 조회합니다.
품질분석 Chatbot,과거 이력,5-2,1,유사 사례 목록,분석에 활용,버튼 클릭,"- 과거 사례 컨텍스트 AI 전달
- 분석 정확도 향상",과거 사례를 참고하여 분석 정확도를 높입니다.
품질분석 Chatbot,보고서 작성,6-1,1,보고서 작성 카드,과거 보고서 수집,버튼 클릭,"- 보고서 목록 팝업
- 검색/필터링 기능",과거 분석 보고서를 조회합니다.
품질분석 Chatbot,보고서 작성,6-2,1,보고서 목록 팝업,보고서 상세보기,항목 선택,"- 고객사/제품/결함 유형
- 원인 분석 결과/대응 조치
- 복사/인쇄 기능",보고서 상세 내용을 확인하고 참고할 수 있습니다.
품질분석 Chatbot,히스토리 관리,7-1,0.5,좌측 사이드바,히스토리 그룹,확인,"- 고객불량 확인 그룹
- 데이터수집 그룹
- 기본분석 저장 그룹",모든 분석 이력이 그룹별로 자동 저장됩니다.
품질분석 Chatbot,히스토리 관리,7-2,1,좌측 사이드바,더보기 메뉴 (...),클릭,"- 수정: 제목 변경
- 복제: 채팅 복사
- 메일전송: 이메일로 전송
- 삭제: 채팅 삭제",다양한 히스토리 관리 기능을 제공합니다.
품질분석 Chatbot,시스템 연동,8-1,0.5,헤더,결함분석시스템,버튼 클릭,"- Gradio 화면 이동 (localhost:7860)
- 양방향 시스템 연동",더 상세한 결함 분석이 필요한 경우 결함분석시스템으로 이동합니다.
결함분석시스템,CS 워크플로우,9-1,1,1. CS 워크플로우,Step 1. 불만 접수,탭 선택,"- 시스템 초기화 버튼
- 불만 접수 목록 조회",CS 품질 불량 분석 워크플로우를 시작합니다. 먼저 시스템을 초기화합니다.
결함분석시스템,CS 워크플로우,9-2,1,Step 1. 불만 접수,불만 정보 입력,입력,"- 고객사/제품모델 선택
- LOT ID/Cell ID 입력
- 결함유형/심각도 선택
- 결함 설명 입력",고객사로부터 접수된 품질 불량 정보를 입력합니다.
결함분석시스템,CS 워크플로우,9-3,1,Step 1. 불만 접수,불만 접수 등록,버튼 클릭,"- 불만 접수 ID 생성
- 고객 확인 이메일 자동 생성",불만 접수를 등록하고 고객 확인 이메일이 자동 생성됩니다.
결함분석시스템,CS 워크플로우,9-4,1,Step 1. 불만 접수,이메일 언어 변환,버튼 클릭,"- 한국어/영어/일본어/중국어 선택
- AI 자동 번역",고객 언어에 맞게 이메일을 자동 번역합니다.
결함분석시스템,CS 워크플로우,9-5,1,Step 1. 불만 접수,결재 요청,버튼 클릭,"- 결재번호 생성
- 승인/반려 처리",이메일 발송 전 내부 결재를 요청합니다.
결함분석시스템,CS 워크플로우,9-6,0.5,Step 1. 불만 접수,미팅 요청 메일 생성,버튼 클릭,"- 참석자 이메일 자동 설정
- 예상 귀책부서 표시
- 미팅 일시 자동 설정",사내 관련 부서 미팅 요청 이메일을 생성합니다.
결함분석시스템,CS 워크플로우,10-1,1,Step 2. 1차 분석,분석 대상 입력,입력,"- 불만 접수 ID 입력
- Step 1에서 생성된 ID 사용",1차 기본 분석을 수행할 대상을 선택합니다.
결함분석시스템,CS 워크플로우,10-2,1,Step 2. 1차 분석,1차 분석 실행,버튼 클릭,"- 결함 유형 분류
- 원인 추정
- 귀책 부서 결정
- 긴급도 평가",품질부서에서 결함 유형을 분석하고 귀책 부서를 결정합니다.
결함분석시스템,CS 워크플로우,11-1,1,Step 3. 2차 분석,2차 상세 분석,버튼 클릭,"- 상세 원인 분석
- 개선 대책 수립
- 재발 방지 대책",귀책 부서에서 상세 분석을 수행합니다.
결함분석시스템,CS 워크플로우,12-1,1,Step 4. 보고서 생성,최종 보고서 생성,버튼 클릭,"- 분석 결과 종합
- PDF 보고서 생성
- 다운로드 기능",최종 분석 보고서를 생성합니다.
결함분석시스템,CS 워크플로우,12-2,1,결재 현황,결재 대시보드,탭 선택,"- 전체 결재 현황
- 승인/반려/대기 건수
- 처리 이력",결재 진행 현황을 한눈에 확인할 수 있습니다.
결함분석시스템,빅데이터 분석,13-1,1,2. 빅데이터 분석,파이프라인 초기화,버튼 클릭,"- 데이터 레이크 연결
- 분석 파이프라인 준비",데이터 레이크 기반 불량 분석 파이프라인을 초기화합니다.
결함분석시스템,빅데이터 분석,13-2,1,2. 빅데이터 분석,분석 실행,버튼 클릭,"- 케이스 ID/셀 ID 입력
- 결함 유형/심각도 선택
- 분석 결과 HTML 표시",빅데이터 분석을 실행합니다. QMS/YMS 원천시스템에서 데이터를 추출하여 분석합니다.
결함분석시스템,결함이미지분석,14-1,1,3. 결함이미지분석,이미지 업로드,파일 선택,"- 결함 이미지 업로드
- VLM 기반 분석 준비",결함 이미지를 업로드합니다.
결함분석시스템,결함이미지분석,14-2,1,3. 결함이미지분석,VLM 채팅 분석,메시지 전송,"- Cosmos Reason VLM 분석
- 결함 유형 자동 판별
- 원인 추정",VLM AI가 이미지를 분석하여 결함 유형과 원인을 추정합니다.
결함분석시스템,결함이미지분석,14-3,0.5,3. 결함이미지분석,채팅 히스토리,저장/불러오기,"- 분석 히스토리 저장
- 이전 분석 불러오기",분석 히스토리를 저장하고 불러올 수 있습니다.
