단계,시간(분),화면/메뉴,액션,시연 포인트,발표 멘트
1. 시스템 소개,2,메인 화면 (localhost:3000),화면 설명,"- 6개 기능 카드 확인
- 헤더 제목: SDC 고객품질 분석 AI 시스템
- 결함분석시스템 버튼 확인","안녕하세요. SDC 고객품질 분석 AI 시스템을 소개드리겠습니다. 이 시스템은 고객사로부터 접수된 품질 불량 건에 대해 AI를 활용하여 데이터 수집, 분석, 보고서 작성까지 전 과정을 지원합니다."
2-1. 고객불량 메일 접수,1,고객불량 확인 카드,고객불량 분석요청 메일 수신/접수 클릭,"- 영문 메일 원문 표시
- 추출 정보: 고객사, 제품모델, LOT ID, Cell ID, 결함유형",고객사에서 불량 관련 영문 메일이 도착했습니다. 시스템이 자동으로 메일을 파싱하여 주요 정보를 추출합니다.
2-2. 메일 번역,1,메일 접수 화면,번역 버튼 클릭,"- AI 자동 한글 번역
- 번역 결과 확인",AI가 영문 메일을 자동으로 한글로 번역합니다.
2-3. CS 시스템 연계,1,메일 접수 화면,접수 시스템으로 연계 클릭,"- CS 워크플로우 연동 (localhost:7860)
- 히스토리 자동 저장 (고객불량 확인 그룹)",접수 버튼을 클릭하면 CS 워크플로우 시스템과 연동되고 히스토리에 자동 저장됩니다.
3-1. 데이터 수집 시작,1,데이터 수집 카드,데이터 수집 클릭,"- 5가지 데이터 카테고리 표시
- 분석 대상 정보 확인",접수된 불량 건에 대해 관련 데이터를 수집합니다.
3-2. MES 생산 실적,1,데이터 수집 화면,MES 생산 실적 조회,"- 생산 수량, 수율 정보
- 공정 흐름 추적 (Array → Cell → Module)",MES 시스템에서 생산 실적 데이터를 조회합니다.
3-3. 품질검사 이력,1,데이터 수집 화면,품질검사/불량이력 조회,"- 검사 항목별 결과
- 불량 이력 및 판정 정보",품질검사 시스템에서 검사 이력과 불량 정보를 조회합니다.
3-4. 공정/설비 이력,1,데이터 수집 화면,공정/설비 이력 조회,"- 설비 파라미터
- 이상 발생 이력",공정 및 설비 관련 이력 데이터를 조회합니다.
3-5. 기본 분석 시작,0.5,데이터 수집 화면,기본 분석 시작 버튼 클릭,"- 수집 데이터가 AI 컨텍스트로 전달
- 데이터수집 그룹에 이력 저장",수집된 데이터를 기반으로 AI 분석을 시작합니다.
4-1. 1차 분석,1,채팅 화면,1차 분석 요청,"- AI가 데이터 패턴 분석
- 잠재적 원인 도출",AI가 수집된 데이터를 분석하여 잠재적 원인을 도출합니다.
4-2. 귀책부서 분석,1,채팅 화면,귀책부서 분석 요청,"- 공정별 책임 분석
- 근본 원인 추정",AI가 귀책부서를 분석합니다.
4-3. 분석 액션 사이드바,1,채팅 화면 우측,사이드바 액션 버튼 활용,"- 고객 담당자 연락처 조회
- 이메일 초안 작성 지원",우측 사이드바에서 추가 분석 액션을 수행할 수 있습니다.
5-1. 유사 사례 조회,1,과거 이력확인 카드,유사 사례 조회 클릭,"- 유사 사례 목록 표시
- 유사도 점수 확인",과거 유사한 불량 사례를 조회합니다.
5-2. 유사 사례 활용,1,유사 사례 목록,분석에 활용 버튼 클릭,"- 과거 사례 컨텍스트 AI 전달
- 분석 정확도 향상",과거 사례를 참고하여 분석 정확도를 높입니다.
6-1. 과거 보고서 조회,1,보고서 작성 카드,과거 보고서 수집 클릭,"- 보고서 목록 팝업
- 검색/필터링 기능",과거 분석 보고서를 조회합니다.
6-2. 보고서 상세 보기,1,보고서 목록 팝업,보고서 선택,"- 고객사, 제품, 결함 유형
- 원인 분석 결과, 대응 조치
- 복사/인쇄 기능",보고서 상세 내용을 확인하고 참고할 수 있습니다.
7-1. 히스토리 그룹 확인,0.5,좌측 사이드바,히스토리 사이드바 확인,"- 고객불량 확인 그룹
- 데이터수집 그룹
- 기본분석 저장 그룹",모든 분석 이력이 그룹별로 자동 저장됩니다.
7-2. 히스토리 관리 기능,1,좌측 사이드바,... 더보기 메뉴 클릭,"- 수정: 제목 변경
- 복제: 채팅 복사
- 메일전송: 이메일로 전송
- 삭제: 채팅 삭제",다양한 히스토리 관리 기능을 제공합니다.
8-1. 결함분석시스템 이동,0.5,헤더,결함분석시스템 버튼 클릭,"- Gradio 화면 (localhost:7860)
- CS 워크플로우 전체 프로세스",더 상세한 결함 분석이 필요한 경우 결함분석시스템으로 이동합니다.
8-2. 고객품질분석시스템 복귀,0.5,Gradio 헤더,고객품질분석시스템 버튼 클릭,"- localhost:3000 복귀
- 양방향 시스템 연동",다시 품질분석 Chatbot으로 돌아올 수 있습니다.
